tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20181030E,-9999,135.67,8.89,220.25,33.16,14.1,-9999.0,24.3,158.5,37.7,159.6902,109.8,113.7,0.0059,0.000973,2.0,6.3,0,0.0004,22.3,-69.0,564.8,400.2,470.5,334358.342,332569,0.466,0,0,2021
FRB20181101A,-9999,21.26,53.88,127.93,-8.67,23.0,-9999.0,14.1,1468.7,41.2,1472.678,1327.8,1311.1,0.03047,0.01,0.5,10.7,0,0.00603,16.4,-37.7,636.8,400.2,497.4,1295380.654,1288953,0.482,0,0,2021
FRB20181102A,-9999,87.22,15.63,191.81,-6.21,12.1,-9999.0,11.9,415.7,11.9,414.4649,258.8,168.0,0.00098,0.00093,1.48,2.52,0,0.00069,0.2,0.4,800.2,400.2,800.2,384360.376,384250,0.383,0,0,2021
FRB20181104A,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,17.9,347.8,53.9,349.4388,150.5,24.6,0.00295,0.00069,1.5,5.0,0,0.000904,64.3,-111.5,616.5,462.5,534.0,362179.757,361145,0.42,1,0,2021
FRB20181104B,FRB20180916B,29.5031258,65.7167542,129.71,3.73,46.06,-9999.0,10.6,342.9,18.6,350.14,151.2,25.3,0.02163,0.0078,0.31,4.4,0,0.00661,8.3,-56.0,528.3,400.2,431.3,745652.385,744186,0.402,1,0,2021
FRB20181104C,-9999,77.05,17.44,184.96,-13.47,17.0,-9999.0,62.2,580.7,101.3,580.81762,475.5,429.7,0.00098,0.00048,9.7,20.7,0,0.0004611,5.81,-9.25,800.2,400.2,547.6,354822.311,348373,0.44,0,0,2021
FRB20181104C,-9999,77.05,17.44,184.96,-13.47,17.0,-9999.0,62.2,580.7,101.3,580.81762,475.5,429.7,0.00098,0.00048,9.7,20.7,1,0.00146,7.4,-10.9,800.2,400.2,561.0,354822.311,348373,0.44,0,0,2021
FRB20181115A,-9999,142.98,56.4,159.11,44.2,23.0,-9999.0,18.8,981.8,25.2,981.613,941.6,951.8,0.00492,0.0021,0.44,1.92,0,0.00183,19.6,-62.0,568.4,400.2,468.8,329974.605,328314,0.473,0,0,2021
FRB20181116A,-9999,36.05,4.52,161.75,-51.22,12.7,-9999.0,25.3,354.2,35.9,355.433,318.3,326.4,0.00197,0.00047,4.0,5.23,0,0.000439,2.37,-11.0,704.7,400.2,445.8,136752.629,134058,0.569,0,0,2021
FRB20181116B,-9999,232.66,64.94,100.53,44.64,22.0,-9999.0,16.0,409.2,25.8,409.876,373.5,380.6,0.00393,0.000171,0.74,1.92,0,0.000642,-8.8,-4.7,505.5,400.2,400.2,304225.793,303385,0.513,0,0,2021
